"Step","DQN_TempoRL_ZigZag_100 - eval/avg_reward","DQN_TempoRL_ZigZag_100 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_100 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_90 - eval/avg_reward","DQN_TempoRL_ZigZag_90 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_90 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_80 - eval/avg_reward","DQN_TempoRL_ZigZag_80 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_80 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_70 - eval/avg_reward","DQN_TempoRL_ZigZag_70 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_70 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_60 - eval/avg_reward","DQN_TempoRL_ZigZag_60 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_60 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_50 - eval/avg_reward","DQN_TempoRL_ZigZag_50 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_50 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_40 - eval/avg_reward","DQN_TempoRL_ZigZag_40 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_40 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_30 - eval/avg_reward","DQN_TempoRL_ZigZag_30 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_30 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_20 - eval/avg_reward","DQN_TempoRL_ZigZag_20 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_20 - eval/avg_reward__MAX","DQN_TempoRL_ZigZag_10 - eval/avg_reward","DQN_TempoRL_ZigZag_10 - eval/avg_reward__MIN","DQN_TempoRL_ZigZag_10 - eval/avg_reward__MAX"
"0","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"1000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-101","-101","-101","-100","-100","-100","-100","-100","-100"
"1500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"2500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"3500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"4000","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-118","-118","-118","-100","-100","-100","-100","-100","-100"
"4500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"5000","-100","-100","-100","-100","-100","-100","-20","-20","-20","-24","-24","-24","-100","-100","-100","-100","-100","-100","-100","-100","-100","-20","-20","-20","-100","-100","-100","-100","-100","-100"
"5500","-100","-100","-100","-100","-100","-100","-100","-100","-100","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6000","-100","-100","-100","-100","-100","-100","-119","-119","-119","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"6500","-100","-100","-100","-116","-116","-116","-20","-20","-20","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7000","-100","-100","-100","-116","-116","-116","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100","-100"
"7500","-100","-100","-100","-116","-116","-116","-20","-20","-20","-22","-22","-22","-22","-22","-22","-100","-100","-100","-100","-100","-100","-118","-118","-118","-126","-126","-126","-100","-100","-100"
